Sanduiches	valor_energ	carboidrato	proteina	g_totais	g_saturada	g_trans	col	fibra_alim	sodio	acucar
Big_Mac	502,00	45,00	27,00	25,00	10,00	0,60	66,00	5,40	1047,00	8,00
Big_Tasty	837,00	41,00	41,00	57,00	24,00	1,70	85,00	4,60	1345,00	9,00
Quarterao	528,00	33,00	30,00	31,00	15,00	1,00	69,00	2,60	1072,00	9,00
McNifico_Bacon	571,00	34,00	32,00	34,00	14,00	0,90	70,00	3,80	1099,00	10,00
Cheddar_McMelt	468,00	30,00	28,00	27,00	12,00	0,90	65,00	2,40	819,00	5,30
McFish	338,00	37,00	15,00	15,00	4,10	0,00	27,00	2,20	511,00	5,60
McChicken	404,00	36,00	17,00	22,00	5,10	0,00	37,00	3,40	718,00	6,30
Duplo_Salada	390,00	32,00	22,00	19,00	6,90	0,40	55,00	3,20	764,00	7,90
Extra_Chicken	345,00	35,00	13,00	17,00	4,60	0,00	21,00	3,50	662,00	6,70
Chicken_Supreme_Grill	402,00	30,00	29,00	18,00	5,90	0,00	75,00	3,10	1164,00	7,00
Chicken_Supreme_Crispy	472,00	37,00	19,00	27,00	9,10	0,30	48,00	3,60	1096,00	7,00
Cheeseburger	302,00	32,00	16,00	13,00	6,00	0,40	36,00	2,20	715,00	6,50
Hamburger	248,00	31,00	14,00	8,10	3,10	0,00	27,00	2,20	517,00	6,00
ClubHouse	819,00	48,00	49,00	48,00	21,00	1,30	111,00	3,60	1368,00	16,00
ClubHouse_com_Crispy	607,00	60,00	33,00	26,00	10,00	0,00	64,00	4,40	1680,00	17,00
McDuplo	333,00	31,00	22,00	14,00	5,80	0,40	53,00	2,20	680,00	6,00
Duplo_Quarterao	766,00	33,00	50,00	49,00	23,00	1,70	119,00	2,60	1273,00	9,10
EggCheese_Bacon	417,00	27,00	17,00	27,00	12,00	0,30	243,00	1,60	660,00	5,10
4_Formaggi_Carne	911,00	49,00	55,00	55,00	27,00	1,70	143,00	3,60	1832,00	15,00
4_Formaggi_Frango	700,00	61,00	39,00	33,00	16,00	0,80	95,00	4,40	2143,00	16,00
